Statistical profiling result from isolate-0x140008000-51285-v8.log, (19383 ticks, 12409 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    202    1.0%          /Users/chris/.nvm/versions/node/v20.19.1/bin/node

 [JavaScript]:
   ticks  total  nonlib   name
      6    0.0%    0.0%  JS: *walkCallExpression /Users/chris/Developer/Ghost/node_modules/webpack/lib/javascript/JavascriptParser.js:3704:20
      6    0.0%    0.0%  JS: *realpathSync node:fs:2652:22
      6    0.0%    0.0%  JS: *readStringContents /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:5363:28
      6    0.0%    0.0%  JS: *parseUpdate /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:10990:14
      6    0.0%    0.0%  JS: *parseStringLiteral /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:11544:21
      6    0.0%    0.0%  JS: *nextToken /Users/chris/Developer/Ghost/ghost/admin/node_modules/postcss/lib/tokenize.js:57:21
      6    0.0%    0.0%  JS: *getOuterBindingIdentifiers /Users/chris/Developer/Ghost/node_modules/@babel/traverse/lib/path/family.js:291:36
      6    0.0%    0.0%  JS: *get /Users/chris/Developer/Ghost/node_modules/@babel/traverse/lib/path/index.js:73:13
      6    0.0%    0.0%  JS: *<anonymous> /Users/chris/Developer/Ghost/node_modules/@babel/core/lib/config/caching.js:208:22
      6    0.0%    0.0%  Builtin: StoreFastElementIC_Standard
      6    0.0%    0.0%  Builtin: LoadGlobalIC
      6    0.0%    0.0%  Builtin: KeyedLoadIC_PolymorphicName
      6    0.0%    0.0%  Builtin: FastNewClosure
      6    0.0%    0.0%  Builtin: CloneObjectIC_Slow
      5    0.0%    0.0%  JS: *types$1.name.updateContext /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:2552:40
      5    0.0%    0.0%  JS: *readInt /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:5538:17
      5    0.0%    0.0%  JS: *put /Users/chris/Developer/Ghost/node_modules/@jridgewell/set-array/dist/set-array.umd.js:38:17
      5    0.0%    0.0%  JS: *printJoin /Users/chris/Developer/Ghost/node_modules/@babel/generator/lib/printer.js:483:12
      5    0.0%    0.0%  JS: *pp.skipBlockComment /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:5463:33
      5    0.0%    0.0%  JS: *pp.readEscapedChar /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:6058:32
      5    0.0%    0.0%  JS: *pp$5.parseLiteral /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:3153:31
      5    0.0%    0.0%  JS: *pp$5.parseIdent /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:3641:29
      5    0.0%    0.0%  JS: *parseExprOp /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:10841:14
